,tweet_id,sentiment,tweet
0,1213084822521950209,neutral,
1,1213011490372038656,neutral,"ልዩ የተፈጥሮ ገፅታ ***** የምስራቅ አፍሪካ የውሃ ማማ ጮቄ"
2,1213763702715043840,mixed,@AbbaSheger ማንም ቢሆን የሀገሩን ጥቅም አሳልፎ አይሰጥም። ያ መላጣ (ነአ) የሻቢይን ይሁንታ ለማግኘት ሲል ሀገሪቱን የባህር አሳጥቷታል። ታምራት እውነታውን ባወራ እንዲህ እርር ማለት ምን አመጣው። ሚሊዮኖች አብረውት ናቸው።
3,1213764224356421633,neutral,"ብ/ጄ አሳምነው ጽጌ ከምክትል ጠ/ሚ ደመቀ ጋር በሱዳን ጉብኝት አልበሽር ያሉትን ለተመስገን እንደነገረው.... ኢትዮጵያ ለእኛ ጥሩ ጎረቤታችን ናት፤ ከህወሓት ጋር ግን ቤተሰብ ነን።"
4,1212766574337150976,positive,
5,1212723914494877698,neutral,"@EthioReporter The only part I like......""ትልልቅ የነዳጅ ፍጆታ ያላቸው ተሽከርካሪዎች ከአየር ብክለት አኳያ፣ በነዳጅ ወጪም ረገድ ተለይተው ኤክሳይዝ ታክሱ ሊጣልባቸው እንደሚገባ፣ በሊትር እስከ 20 ኪሎ ሜትር በሚነዱት ላይ የተለየ አተያይ እንዲኖር ጠይቀዋል፡፡"""
6,1201007355607040001,neutral,@Abione_Bekele 😄 እሺ ወንድሜ እተከላለሁ ማኛ እኮ ናት ወዳታለሁ በጣም ደሞ  ቅና አሉህ 😉
7,1213183031638405123,neutral,@fitih11 ይቺን አውቆ ነው ዶ/ር አብይ ክርስቲያን የሆነዋ.......ኧረ ጀንፈሉ ይህ እንጣጥ እንጣጥ ዋዋዋ!
8,1216001450964324354,neutral,
9,1201438784782503936,neutral,"@DrSenait ሰው የፈለገውን የመሆን መብት ቢኖረውም መብቱ የሚወሰነው ግን በሚኖርበት ሀገር ውስጥ ህጉ ማኖር ሲችል ብቻ ነው። ይህ ከመብት እና ከእኩልነት ጋር አይገናኝም፣ ከህግ ጋር እንጂ"
